filename,session_id,window_index,label,split,start_time_seconds,context
20260111_204751_window_0000.wav,20260111_204751,0,1,train,0.0,no_background_noise
20260111_204751_window_0001.wav,20260111_204751,1,1,train,0.25,no_background_noise
20260111_204751_window_0002.wav,20260111_204751,2,1,train,0.5,no_background_noise
20260111_204751_window_0003.wav,20260111_204751,3,1,train,0.75,no_background_noise
20260111_204751_window_0004.wav,20260111_204751,4,1,train,1.0,no_background_noise
20260111_204751_window_0005.wav,20260111_204751,5,1,train,1.25,no_background_noise
20260111_204751_window_0006.wav,20260111_204751,6,1,train,1.5,no_background_noise
20260111_204751_window_0007.wav,20260111_204751,7,1,train,1.75,no_background_noise
20260111_204751_window_0008.wav,20260111_204751,8,1,train,2.0,no_background_noise
20260111_204751_window_0009.wav,20260111_204751,9,1,train,2.25,no_background_noise
20260111_204751_window_0010.wav,20260111_204751,10,1,train,2.5,no_background_noise
20260111_204751_window_0011.wav,20260111_204751,11,1,train,2.75,no_background_noise
20260111_204751_window_0012.wav,20260111_204751,12,1,train,3.0,no_background_noise
20260111_204751_window_0013.wav,20260111_204751,13,1,train,3.25,no_background_noise
20260111_204751_window_0014.wav,20260111_204751,14,1,train,3.5,no_background_noise
20260111_204751_window_0015.wav,20260111_204751,15,1,train,3.75,no_background_noise
20260111_204751_window_0016.wav,20260111_204751,16,1,train,4.0,no_background_noise
20260111_204751_window_0017.wav,20260111_204751,17,1,train,4.25,no_background_noise
20260111_204751_window_0018.wav,20260111_204751,18,1,train,4.5,no_background_noise
20260111_204751_window_0019.wav,20260111_204751,19,1,train,4.75,no_background_noise
20260111_204751_window_0020.wav,20260111_204751,20,1,train,5.0,no_background_noise
20260111_204751_window_0021.wav,20260111_204751,21,1,train,5.25,no_background_noise
20260111_204751_window_0022.wav,20260111_204751,22,1,train,5.5,no_background_noise
20260111_204751_window_0023.wav,20260111_204751,23,1,train,5.75,no_background_noise
20260111_204751_window_0024.wav,20260111_204751,24,1,train,6.0,no_background_noise
20260111_204751_window_0025.wav,20260111_204751,25,1,train,6.25,no_background_noise
